,Postal Code,City,Street,Latitude,Longitude
0,877,Valby,Vigerslev Allé 18,55.67567000000008,12.567560000000071
1,900,København C,Vesterbrogade 2A,55.67567000000008,12.567560000000071
2,910,København C,Ufrankerede svarforsendelser,55.67567000000008,12.567560000000071
3,929,København C,Ufrankerede svarforsendelser,55.67567000000008,12.567560000000071
4,999,København C,Emil Holms Kanal 20,55.67567000000008,12.567560000000071
5,1000,København K,Købmagergade 33,55.67567000000008,12.567560000000071
32,1045,København K,Ufrankerede svarforsendelser,55.67567000000008,12.567560000000071
33,1050,København K,Kongens Nytorv,55.68045281500008,12.586210000000051
34,1051,København K,Nyhavn,55.679770000000076,12.59220450500004
35,1052,København K,Herluf Trolles Gade,55.67906000000005,12.589268960000027
36,1053,København K,Cort Adelers Gade,55.67780380500005,12.590820000000065
37,1054,København K,Peder Skrams Gade,55.677622952000036,12.58928000000003
38,1055,København K,Tordenskjoldsgade,55.67847500000005,12.587253902000043
39,1055,København K,August Bournonvilles Passage,55.67847500000005,12.587253902000043
40,1056,København K,Heibergsgade,55.67898000000008,12.587790686000062
41,1057,København K,Holbergsgade,55.67819500000007,12.589415236000036
42,1058,København K,Havnegade,55.677364632000035,12.59050428300003
43,1059,København K,Niels Juels Gade,55.677085455000054,12.58663000000007
44,1060,København K,Holmens Kanal,55.67776500000008,12.58603374300003
45,1061,København K,Ved Stranden,55.67735000000005,12.581401451000033
46,1062,København K,Boldhusgade,55.677310000000034,12.582108549000054
47,1063,København K,Laksegade,55.67810000000003,12.583979524000029
48,1064,København K,Asylgade,55.678510000000074,12.583974500000068
49,1065,København K,Fortunstræde,55.67794500000008,12.58098083300007
50,1066,København K,Admiralgade,55.677865000000054,12.582047044000035
51,1067,København K,Nikolaj Plads,55.678690000000074,12.581696500000021
52,1068,København K,Nikolajgade,55.67781500000007,12.582802166000022
53,1069,København K,Bremerholm,55.67840000000007,12.583315458000072
54,1070,København K,Vingårdstræde,55.67884000000004,12.584269254000048
55,1071,København K,Dybensgade,55.67799118500005,12.583127901000069
56,1072,København K,Lille Kirkestræde,55.67841000000004,12.58063197000007
57,1073,København K,Store Kirkestræde,55.67881500000004,12.580344500000024
58,1074,København K,Lille Kongensgade,55.67945000000003,12.584042931000056
59,1092,København K,Holmens Kanal 2-12,55.67567000000008,12.567560000000071
60,1093,København K,Havnegade 5,55.67567000000008,12.567560000000071
61,1095,København K,Kongens Nytorv 13,55.67567000000008,12.567560000000071
62,1098,København K,Esplanaden 50,55.67567000000008,12.567560000000071
63,1100,København K,Østergade,55.67952000000008,12.582400022000058
64,1101,København K,Ny Østergade,55.681963007000036,12.581619080000053
65,1102,København K,Pistolstræde,55.68034510900003,12.582820000000027
66,1103,København K,Hovedvagtsgade,55.680495000000064,12.583894804000067
67,1104,København K,Ny Adelgade,55.68133618600007,12.584081732000072
68,1105,København K,Kristen Bernikows Gade,55.68011441200008,12.582345000000032
69,1106,København K,Antonigade,55.679830468000034,12.581410000000062
70,1107,København K,Grønnegade,55.681035000000065,12.582384387000047
71,1110,København K,Store Regnegade,55.68146000000007,12.581837262000022
72,1111,København K,Christian IX's Gade,55.68211990200007,12.580840000000023
73,1112,København K,Pilestræde,55.68149000000005,12.578340156000024
74,1113,København K,Silkegade,55.679824265000036,12.580035000000066
75,1114,København K,Kronprinsensgade,55.68050562500008,12.579245000000071
76,1115,København K,Klareboderne,55.680990000000065,12.578436030000034
77,1116,København K,Møntergade,55.682270000000074,12.580168590000028
78,1117,København K,Gammel Mønt,55.68164000000007,12.580246298000077
79,1118,København K,Sværtegade,55.680963321000036,12.581320086000062
80,1119,København K,Landemærket,55.68180000000007,12.576020732000075
81,1120,København K,Vognmagergade,55.68245500000006,12.57852212900002
82,1121,København K,Lønporten,55.68283000000008,12.578714167000044
83,1122,København K,Sjæleboderne,55.682223889000056,12.579560000000072
84,1123,København K,Gothersgade,55.68434000000008,12.578023913000038
85,1124,København K,Åbenrå,55.683335000000056,12.575716471000021
86,1125,København K,Suhmsgade,55.68271879900004,12.576220000000035
87,1126,København K,Pustervig,55.68232000000006,12.575146585000027
88,1127,København K,Hauser Plads,55.682651742000076,12.575740000000053
89,1128,København K,Hausergade,55.68271500000003,12.574860649000072
90,1129,København K,Sankt Gertruds Stræde,55.68312000000003,12.574602308000067
91,1130,København K,Rosenborggade,55.68332000000004,12.573597192000022
92,1131,København K,Tornebuskegade,55.683880000000045,12.57412193500005
93,1140,København K,Møntergade 19,55.67567000000008,12.567560000000071
94,1147,København K,Pilestræde 34,55.67567000000008,12.567560000000071
95,1148,København K,Vognmagergade 11,55.67567000000008,12.567560000000071
96,1150,København K,Købmagergade,55.68133500000005,12.57559272800006
97,1151,København K,Valkendorfsgade,55.67915500000004,12.576559634000034
98,1152,København K,Løvstræde,55.680405000000064,12.57708658200005
99,1153,København K,Niels Hemmingsens Gade,55.67993500000006,12.576891364000062
100,1154,København K,Gråbrødretorv,55.67998000000006,12.576022863000048
101,1155,København K,Kejsergade,55.67998000000006,12.575324530000046
102,1156,København K,Gråbrødrestræde,55.679529510000066,12.575195000000065
103,1157,København K,Klosterstræde,55.67919500000005,12.575385501000028
104,1158,København K,Skoubogade,55.67874500000005,12.573728176000031
105,1159,København K,Skindergade,55.679888506000054,12.574155000000076
106,1160,København K,Amagertorv,55.67903718800005,12.577615000000037
107,1161,København K,Vimmelskaftet,55.67864000000003,12.575063000000057
108,1162,København K,Jorcks Passage,55.67887681000008,12.574215776000074
109,1163,København K,Klostergården,55.67567000000008,12.567560000000071
110,1164,København K,Nygade,55.67796500000003,12.573876891000054
111,1165,København K,Nørregade,55.68077500000004,12.571006902000022
112,1166,København K,Dyrkøb,55.679095000000075,12.572786964000045
113,1167,København K,Bispetorvet,55.67896252600008,12.571630000000027
114,1168,København K,Frue Plads,55.67975500000006,12.572660303000077
115,1169,København K,Store Kannikestræde,55.68058000000008,12.57502624700004
116,1170,København K,Lille Kannikestræde,55.680120000000045,12.574756635000028
117,1171,København K,Fiolstræde,55.681520000000035,12.57246830400004
118,1172,København K,Krystalgade,55.680585000000065,12.573492545000022
119,1173,København K,Peder Hvitfeldts Stræde,55.68164000000007,12.573769474000073
120,1174,København K,Rosengården,55.68220500000007,12.572844838000037
121,1175,København K,Kultorvet,55.68225630500007,12.574153097000021
122,1200,København K,Højbro Plads,55.67816781800008,12.580035000000066
123,1201,København K,Læderstræde,55.678420000000074,12.578791765000062
124,1202,København K,Gammel Strand,55.67765000000003,12.578414444000032
125,1203,København K,Nybrogade,55.676105000000064,12.575654597000039
126,1204,København K,Magstræde,55.67667000000006,12.575773182000034
127,1205,København K,Snaregade,55.67706000000004,12.576626615000066
128,1206,København K,Naboløs,55.67755500000004,12.577060588000052
129,1207,København K,Hyskenstræde,55.677900116000046,12.57665000000003
130,1208,København K,Kompagnistræde,55.676735000000065,12.57488214600005
131,1209,København K,Badstuestræde,55.67776500000008,12.575759576000053
132,1210,København K,Knabrostræde,55.67743500000006,12.575051571000074
133,1211,København K,Brolæggerstræde,55.67743500000006,12.574188468000045
134,1212,København K,Vindebrogade,55.67615366800004,12.576774799000077
135,1213,København K,Bertel Thorvaldsens Plads,55.67620000000005,12.577705882000032
136,1214,København K,Søren Kierkegaards Plads,55.674882514000046,12.579224612000075
137,1214,København K,Tøjhusgade,55.674882514000046,12.579224612000075
138,1215,København K,Børsgade,55.67559000000006,12.584570868000071
139,1216,København K,Slotsholmsgade,55.67522000000008,12.583882304000042
140,1217,København K,Børsen,55.67567000000008,12.567560000000071
141,1218,København K,Rigsdagsgården,55.675423472000034,12.57832197700003
142,1218,København K,Proviantpassagen,55.675423472000034,12.57832197700003
143,1218,København K,Prins Jørgens Gård,55.675423472000034,12.57832197700003
144,1218,København K,Christiansborg Ridebane,55.675423472000034,12.57832197700003
145,1218,København K,Christiansborg Slotsplads,55.675423472000034,12.57832197700003
146,1218,København K,Christiansborg,55.675423472000034,12.57832197700003
147,1219,København K,Christians Brygge ulige nr. + 2-22,55.67405500000007,12.583811750000052
148,1220,København K,Frederiksholms Kanal,55.67380000000003,12.57958745700006
149,1240,København K,Christiansborg,55.67567000000008,12.567560000000071
150,1250,København K,Sankt Annæ Plads,55.681940747000056,12.590960000000052
151,1251,København K,Kvæsthusgade,55.68001000000004,12.593758516000037
152,1252,København K,Kvæsthusbroen,55.68096409100008,12.594985268000073
153,1253,København K,Toldbodgade,55.68432815500006,12.595356560000027
154,1254,København K,Lille Strandstræde,55.68076000000008,12.589810095000075
155,1255,København K,Store Strandstræde,55.68131000000005,12.589009684000075
156,1256,København K,Amaliegade,55.68725000000006,12.596551477000048
157,1257,København K,Amalienborg,55.683895000000064,12.593348082000034
158,1258,København K,Larsens Plads,55.67567000000008,12.567560000000071
159,1259,København K,Nordre Toldbod,55.70315500000004,12.614869569000064
160,1259,København K,Trekroner,55.70315500000004,12.614869569000064
161,1260,København K,Bredgade,55.68608000000006,12.593684929000062
162,1261,København K,Palægade,55.68189000000007,12.587340674000075
163,1263,København K,Churchillparken,55.69002500000005,12.598913482000057
164,1263,København K,Esplanaden,55.69002500000005,12.598913482000057
165,1264,København K,Store Kongensgade,55.685880000000054,12.589063624000062
166,1265,København K,Frederiksgade,55.68472000000003,12.588661667000054
167,1266,København K,Bornholmsgade,55.68750966700003,12.590865000000065
168,1267,København K,Hammerensgade,55.68843500000003,12.591322717000025
169,1268,København K,Jens Kofods Gade,55.68865000000005,12.590274736000026
170,1270,København K,Grønningen,55.68963500000007,12.590384524000058
171,1271,København K,Poul Ankers Gade,55.68912500000005,12.58977150800007
172,1291,København K,Sankt Annæ Plads 26-28,55.67567000000008,12.567560000000071
173,1300,København K,Borgergade,55.685314119000054,12.586895686000048
174,1301,København K,Landgreven,55.68258814500007,12.586249185000042
175,1302,København K,Dronningens Tværgade,55.68379500000003,12.586225562000038
176,1303,København K,Hindegade,55.68611000000004,12.587877737000042
177,1304,København K,Adelgade,55.68337000000008,12.58327994800004
178,1306,København K,Kronprinsessegade,55.683735908000074,12.581945000000076
179,1307,København K,Sølvgade,55.68650130800006,12.580476935000036
180,1307,København K,Georg Brandes Plads,55.68650130800006,12.580476935000036
181,1308,København K,Klerkegade,55.68668000000008,12.584964186000036
182,1309,København K,Rosengade,55.68727000000007,12.583943050000073
183,1310,København K,Fredericiagade,55.68568727100006,12.59039756900006
184,1311,København K,Olfert Fischers Gade,55.68670231400006,12.588538607000032
185,1312,København K,Gammelvagt,55.68726500000008,12.58580001100006
186,1313,København K,Sankt Pauls Gade,55.68682000000007,12.589757992000045
187,1314,København K,Sankt Pauls Plads,55.68779491100008,12.58691140700006
188,1315,København K,Rævegade,55.68766000000005,12.587750000000028
189,1316,København K,Rigensgade,55.68762500000008,12.58246353800007
190,1317,København K,Stokhusgade,55.688905000000034,12.582932267000047
191,1318,København K,Krusemyntegade,55.68855969100008,12.584699018000038
192,1319,København K,Gernersgade,55.688195000000064,12.587425114000041
193,1320,København K,Haregade,55.68835000000007,12.588031038000054
194,1321,København K,Tigergade,55.68796500000008,12.589615469000023
195,1322,København K,Suensonsgade,55.688860000000034,12.587432659000058
196,1323,København K,Hjertensfrydsgade,55.689535000000035,12.58555930500006
