,Street,Street_lat,Street_lon,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
56,Åboulevard 1-13,55.68295000000007,12.556215444000035,Stjerner Cykelværksted,55.68358,12.555626,Bike Shop
57,Åboulevard 1-13,55.68295000000007,12.556215444000035,Karer Cykelværksted,55.68355954474202,12.556921527475378,Bike Shop
58,Istedgade,55.66964870800007,12.556078380000029,A-H Cykler,55.66999183551136,12.55631809852853,Bike Shop
59,Colbjørnsensgade,55.67165500000005,12.56253511500006,Københavnscyklet (rent A Bike),55.671791234326726,12.561715152515067,Bike Shop
60,Colbjørnsensgade,55.67165500000005,12.56253511500006,Halmtorvets Cykler,55.670893453454475,12.561836970621618,Bike Shop
61,Viktoriagade,55.67175000000003,12.557617632000074,Copenhagen Bikes,55.67177499962543,12.556361854076385,Bike Shop
62,Gasværksvej,55.671254932000075,12.556800000000068,Rent a Bike CPH,55.67198524851382,12.556066811084747,Bike Shop
63,Dannebrogsgade,55.66949723500005,12.55245702600007,Cykelfabrikken,55.668933,12.553054,Bike Shop
64,Oehlenschlægersgade,55.667455000000075,12.550360615000045,Bikers Remix,55.667446,12.549176,Bike Shop
65,Frederiksstadsgade,55.66918500000003,12.547572839000056,Thunderfist,55.669071,12.546884,Bike Shop
66,Frederiksstadsgade,55.66918500000003,12.547572839000056,Stella Rossa Cykler,55.66881,12.548031,Bike Shop
67,Halmtorvet,55.66981500000003,12.559421419000044,Cph Cykelmarked,55.670363,12.559797,Bike Shop
68,Kødboderne,55.66662000000007,12.558512969000047,Mate.bike,55.666323,12.558574,Bike Shop
69,Slagtehusgade,55.668700427000026,12.560745000000054,Ben Ben Cykler,55.668407941043576,12.561071195155902,Bike Shop
70,Slagtehusgade,55.668700427000026,12.560745000000054,"Butchers & Bicycles, Copenhagen",55.668975102772336,12.56063461303711,Bike Shop
71,Krusågade,55.66652000000005,12.555204988000073,Niko Cykler,55.667227,12.554453,Bike Shop
72,Krusågade,55.66652000000005,12.555204988000073,Cykelværkstedet,55.66705257965588,12.554700378222137,Bike Shop
73,Dybbølsgade,55.665540597000074,12.557051106000076,Nihola Cykler,55.66540855180184,12.55806639182113,Bike Shop
74,Godsbanegade,55.665430000000065,12.555373225000038,Cph Cykel Express,55.66506023406679,12.554215242235635,Bike Shop
75,Estlandsgade,55.668192581000035,12.552289463000024,Viggos Cykler,55.668533,12.551242,Bike Shop
76,Bevtoftgade,55.66533000000004,12.543763423000028,Enghave Cykler,55.66556917728407,12.54309146911241,Bike Shop
77,Stenderupgade,55.664690000000064,12.543573421000076,BenBen Cykler,55.664348,12.542379,Bike Shop
78,Vesterfælledvej,55.669623754000035,12.538810000000069,Saxil Cykler,55.67038026547564,12.538418560748175,Bike Shop
79,Amerikavej,55.66945000000004,12.541798144000039,Sorte Jernhest Cykelfabrik,55.669746,12.540597,Bike Shop
80,Küchlersgade,55.66752859800005,12.538875000000074,Cykelsmeden,55.66674491598366,12.539407298661095,Bike Shop
81,Gammel Kongevej 85-179 + 60-178,55.67710500000004,12.538817161000054,venus cykler,55.676734,12.539962,Bike Shop
82,Åboulevard 15-55,55.68527000000007,12.551206216000026,Amadeus Cykler,55.6859801404321,12.550935745239258,Bike Shop
83,Normasvej 31,55.67040006872977,12.511796217117114,Recycles,55.66702131798817,12.548489781906488,Bike Shop
84,Normasvej 31,55.67040006872977,12.511796217117114,Fri BikeShop,55.66604939042212,12.512653099917431,Bike Shop
85,Normasvej 31,55.67040006872977,12.511796217117114,Sorico Cykler,55.66526223708727,12.516796500343675,Bike Shop
86,Normasvej 31,55.67040006872977,12.511796217117114,Cykelbasen,55.66160097,12.516618,Bike Shop
87,Normasvej 31,55.67040006872977,12.511796217117114,Trekroner Cykler,55.661418619832695,12.518850593505297,Bike Shop
88,Normasvej 31,55.67040006872977,12.511796217117114,Finsens Cykler,55.681268,12.51739,Bike Shop
89,Normasvej 31,55.67040006872977,12.511796217117114,Banani,55.669640682575455,12.48995304107666,Bike Shop
90,Normasvej 31,55.67040006872977,12.511796217117114,Flintholm Station Cykler,55.68559945823349,12.499167724256969,Bike Shop
91,Normasvej 31,55.67040006872977,12.511796217117114,Cykelbutikken,55.68176602659457,12.53527759870709,Bike Shop
92,Normasvej 31,55.67040006872977,12.511796217117114,Webike Vanløse,55.684117,12.490883,Bike Shop
93,Normasvej 31,55.67040006872977,12.511796217117114,Hr. Velo,55.67265967656031,12.544007008784172,Bike Shop
94,Normasvej 31,55.67040006872977,12.511796217117114,Rolsted - Heino Cykler,55.67562127590095,12.545272602437,Bike Shop
95,Normasvej 31,55.67040006872977,12.511796217117114,Komet Cykler,55.653718120665786,12.538318634033203,Bike Shop
96,Normasvej 31,55.67040006872977,12.511796217117114,Vesterbro Cykler,55.66648530935741,12.551563867086582,Bike Shop
97,Normasvej 31,55.67040006872977,12.511796217117114,Falkon Cykler,55.686975,12.540356,Bike Shop
98,Normasvej 31,55.67040006872977,12.511796217117114,Sørens Cykler,55.69292181348076,12.53252506308185,Bike Shop
99,Normasvej 31,55.67040006872977,12.511796217117114,Pscycles,55.69474892941396,12.529435273003594,Bike Shop
100,2100 København Ø,55.70564500000007,12.572474049000052,Soigneur,55.71630012498709,12.577649777037323,Bike Shop
101,2100 København Ø,55.70564500000007,12.572474049000052,byman cykler,55.691656,12.5766201,Bike Shop
102,2100 København Ø,55.70564500000007,12.572474049000052,TrackBikeShop,55.685273604505774,12.553389112628969,Bike Shop
103,2100 København Ø,55.70564500000007,12.572474049000052,Fri BikeShop Nørrebro,55.68622651534679,12.55290444226826,Bike Shop
104,2100 København Ø,55.70564500000007,12.572474049000052,Barholt Cykler,55.706897,12.577734,Bike Shop
105,2100 København Ø,55.70564500000007,12.572474049000052,Fri Cykler,55.71030732457972,12.560859131933745,Bike Shop
106,2100 København Ø,55.70564500000007,12.572474049000052,Sali Cykler,55.709813833235074,12.56025,Bike Shop
107,2100 København Ø,55.70564500000007,12.572474049000052,Nordhavn Cykler,55.703385661555494,12.587856316190404,Bike Shop
