,Street,cph_lat,cph_lon,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Kongens Nytorv,55.68045281500008,12.586210000000051,Det Kongelige Teater,55.67976070989973,12.586074549677948,Theater
1,Kongens Nytorv,55.68045281500008,12.586210000000051,Nyhavn,55.68024653461302,12.589398459502679,Harbor / Marina
2,Kongens Nytorv,55.68045281500008,12.586210000000051,Nebbiolo,55.681116,12.589191,Wine Bar
3,Kongens Nytorv,55.68045281500008,12.586210000000051,Den Lille Fede,55.68219859793329,12.585475542123353,Mediterranean Restaurant
4,Kongens Nytorv,55.68045281500008,12.586210000000051,Kunsthal Charlottenborg,55.67992619015504,12.588278526489983,Art Gallery
5,Kongens Nytorv,55.68045281500008,12.586210000000051,Hôtel d'Angleterre,55.68067069693812,12.584899514672804,Hotel
6,Kongens Nytorv,55.68045281500008,12.586210000000051,Restaurant Llama,55.67957,12.583811,South American Restaurant
7,Kongens Nytorv,55.68045281500008,12.586210000000051,Palæ Bar,55.68132048859017,12.583664886601866,Bar
8,Kongens Nytorv,55.68045281500008,12.586210000000051,Hotel Sanders,55.67845101995515,12.587354817457431,Hotel
9,Kongens Nytorv,55.68045281500008,12.586210000000051,MASH,55.681873735233594,12.5884850713547,Steakhouse
10,Kongens Nytorv,55.68045281500008,12.586210000000051,The Union Kitchen,55.681371,12.589345800000046,Breakfast Spot
11,Kongens Nytorv,55.68045281500008,12.586210000000051,Café Ermanno,55.68114764070817,12.588744951812927,Café
12,Kongens Nytorv,55.68045281500008,12.586210000000051,Hotel Chocolat,55.679930386286976,12.583697790753765,Chocolate Shop
13,Kongens Nytorv,55.68045281500008,12.586210000000051,Coffee Collective,55.68005357384397,12.58238130617308,Coffee Shop
14,Kongens Nytorv,55.68045281500008,12.586210000000051,Serenity Cupcakes,55.68140312848417,12.583322825492061,Cupcake Shop
15,Kongens Nytorv,55.68045281500008,12.586210000000051,Restaurant Palægade,55.682217,12.586617,Scandinavian Restaurant
16,Kongens Nytorv,55.68045281500008,12.586210000000051,Brønnum,55.679696175899636,12.586644159754318,Cocktail Bar
17,Kongens Nytorv,55.68045281500008,12.586210000000051,Forloren Espresso,55.682567,12.58635,Coffee Shop
18,Kongens Nytorv,55.68045281500008,12.586210000000051,Kong Hans Kælder,55.678759525964274,12.584101680066615,French Restaurant
19,Kongens Nytorv,55.68045281500008,12.586210000000051,Zeleste,55.68090828325428,12.588389425435357,Scandinavian Restaurant
20,Kongens Nytorv,55.68045281500008,12.586210000000051,1105,55.680492,12.58259,Cocktail Bar
21,Kongens Nytorv,55.68045281500008,12.586210000000051,Kgl. Teater Gamle Scene,55.679186670314856,12.585692563697654,Theater
22,Kongens Nytorv,55.68045281500008,12.586210000000051,Otto,55.68264826919816,12.586333758208978,Restaurant
23,Kongens Nytorv,55.68045281500008,12.586210000000051,Cantina,55.68242708604671,12.584140834619701,Italian Restaurant
24,Kongens Nytorv,55.68045281500008,12.586210000000051,Klarlund,55.67999377364616,12.583446314910727,Jewelry Store
25,Kongens Nytorv,55.68045281500008,12.586210000000051,Kongens Nytorv,55.679299112359296,12.58525741019448,Plaza
26,Kongens Nytorv,55.68045281500008,12.586210000000051,Nyhavns Færgekro,55.680659322905576,12.588219908776077,Scandinavian Restaurant
27,Kongens Nytorv,55.68045281500008,12.586210000000051,Marchal,55.68055644977679,12.58492503297963,French Restaurant
28,Kongens Nytorv,55.68045281500008,12.586210000000051,Amazing Space D'Angleterre,55.680796572286944,12.584181125279272,Spa
29,Kongens Nytorv,55.68045281500008,12.586210000000051,Chill-ee,55.68098223213833,12.589854218965037,Sandwich Place
30,Kongens Nytorv,55.68045281500008,12.586210000000051,Fishmarket,55.68080797107062,12.584464080394083,Seafood Restaurant
31,Kongens Nytorv,55.68045281500008,12.586210000000051,Poul Stig Briller,55.679979037860875,12.58314778257687,Optical Shop
32,Kongens Nytorv,55.68045281500008,12.586210000000051,FIAT,55.68128588567555,12.585790000761703,Italian Restaurant
33,Kongens Nytorv,55.68045281500008,12.586210000000051,Viking 1914 + Creas A/S,55.68306270341002,12.585560575820233,Arts & Crafts Store
34,Kongens Nytorv,55.68045281500008,12.586210000000051,Retour Steak,55.68183455143896,12.582069337225084,Steakhouse
35,Kongens Nytorv,55.68045281500008,12.586210000000051,Balthazar Champagne Bar,55.68062141013364,12.58337816949324,Cocktail Bar
36,Kongens Nytorv,55.68045281500008,12.586210000000051,Taller,55.67869446860539,12.587429881095886,Scandinavian Restaurant
37,Kongens Nytorv,55.68045281500008,12.586210000000051,Mad&Vin,55.679295615014205,12.58526154269126,Grocery Store
38,Kongens Nytorv,55.68045281500008,12.586210000000051,Kjær & Sommerfeldt,55.68109463092297,12.581547303748707,Wine Shop
39,Kongens Nytorv,55.68045281500008,12.586210000000051,Restaurant Koefoed,55.68313894466906,12.585359277451548,Scandinavian Restaurant
40,Kongens Nytorv,55.68045281500008,12.586210000000051,Wood Wood,55.68086800203294,12.581881409521337,Clothing Store
41,Kongens Nytorv,55.68045281500008,12.586210000000051,Geist,55.681423357712355,12.586278370093273,Restaurant
42,Kongens Nytorv,55.68045281500008,12.586210000000051,Gasoline Grill,55.683258,12.585043,Burger Joint
43,Kongens Nytorv,55.68045281500008,12.586210000000051,Winterspring,55.681211,12.589357,Dessert Shop
44,Kongens Nytorv,55.68045281500008,12.586210000000051,YOBURGER,55.681906,12.583065,Burger Joint
45,Kongens Nytorv,55.68045281500008,12.586210000000051,Apollo Bar,55.68000180874106,12.588113157518363,Bar
46,Kongens Nytorv,55.68045281500008,12.586210000000051,Boltens Food Court,55.68219889490207,12.58504242730581,Food Court
47,Kongens Nytorv,55.68045281500008,12.586210000000051,Pluto,55.68335122210825,12.58499354947069,Restaurant
48,Kongens Nytorv,55.68045281500008,12.586210000000051,Jeppes Badehotel,55.68114722940021,12.589923146639526,Bar
49,Kongens Nytorv,55.68045281500008,12.586210000000051,Atelier September,55.68208957075331,12.582952272339782,Breakfast Spot
50,Kongens Nytorv,55.68045281500008,12.586210000000051,Restaurant Havfruen,55.67999306023292,12.590580342023486,Seafood Restaurant
51,Kongens Nytorv,55.68045281500008,12.586210000000051,Magasin du Nord,55.679116,12.584042,Department Store
52,Kongens Nytorv,55.68045281500008,12.586210000000051,No. 11 Café,55.681873473040035,12.590387502766566,Café
53,Kongens Nytorv,55.68045281500008,12.586210000000051,Bistro Royal,55.681365,12.584986,Restaurant
54,Kongens Nytorv,55.68045281500008,12.586210000000051,La Vecchia Signora,55.68102083231503,12.582520236770247,Pizza Place
55,Kongens Nytorv,55.68045281500008,12.586210000000051,Fuego,55.67823116841936,12.589047350233457,Steakhouse
56,Kongens Nytorv,55.68045281500008,12.586210000000051,Khun Juk Oriental,55.68215867882499,12.585357439799228,Thai Restaurant
57,Kongens Nytorv,55.68045281500008,12.586210000000051,Fredco's Deli,55.68140468287049,12.58331699851854,Deli / Bodega
58,Kongens Nytorv,55.68045281500008,12.586210000000051,Café Victor,55.68073902875729,12.5832034121113,Café
59,Kongens Nytorv,55.68045281500008,12.586210000000051,Pizza Huset,55.68198467312638,12.583601064450388,Pizza Place
60,Kongens Nytorv,55.68045281500008,12.586210000000051,Told & Snaps,55.679869,12.591598,Restaurant
61,Kongens Nytorv,55.68045281500008,12.586210000000051,COS,55.67935998257929,12.581895971528793,Boutique
62,Kongens Nytorv,55.68045281500008,12.586210000000051,Holberg no. 19,55.678736027083836,12.590543441474928,Café
63,Kongens Nytorv,55.68045281500008,12.586210000000051,Clou,55.68356165588371,12.585061353689905,Scandinavian Restaurant
64,Kongens Nytorv,55.68045281500008,12.586210000000051,Pastis,55.68242253662171,12.582041728884308,French Restaurant
65,Kongens Nytorv,55.68045281500008,12.586210000000051,The Market,55.68030006394093,12.581290095178838,Asian Restaurant
66,Kongens Nytorv,55.68045281500008,12.586210000000051,Storm,55.681340562311725,12.581353398594414,Miscellaneous Shop
67,Kongens Nytorv,55.68045281500008,12.586210000000051,JOE & THE JUICE,55.6810324431028,12.581405639648438,Juice Bar
68,Kongens Nytorv,55.68045281500008,12.586210000000051,Skindbuksen,55.67966204235668,12.584626306443406,Scandinavian Restaurant
69,Kongens Nytorv,55.68045281500008,12.586210000000051,Jazzhus Montmartre,55.68186795996577,12.582274152121922,Jazz Club
